type	x	y	z	density
t = 0
0	0	10	14	0.768267
0	0	10	15	0.768267
0	0	10	16	1.202505
0	0	10	17	2.037578
0	0	10	18	4.175365
0	0	10	19	3.039666
0	0	11	0	1.770355
0	0	11	1	2.237996
0	0	11	2	1.903967
0	0	11	3	1.670146
0	0	11	4	1.369520
0	0	11	5	0.400835
0	0	11	6	0.300626
0	0	11	7	0.334029
0	0	11	8	1.102296
0	0	11	9	1.636743
0	0	11	10	0.835073
0	0	11	11	0.734864
0	0	11	12	0.868476
0	0	11	13	1.102296
0	0	11	14	0.634656
0	0	11	15	1.870564
0	0	11	16	1.035491
0	0	11	17	1.569937
0	0	11	18	2.304802
0	0	11	19	2.371608
0	0	12	0	2.037578
0	0	12	1	1.202505
0	0	12	2	0.835073
0	0	12	3	0.901879
0	0	12	4	0.334029
0	0	12	5	0.167015
0	0	12	6	0.066806
0	0	12	7	0.634656
0	0	12	8	1.603340
0	0	12	9	2.237996
0	0	12	10	1.068894
0	0	12	11	1.135699
0	0	12	12	1.102296
0	0	12	13	1.102296
0	0	12	14	1.736952
0	0	12	15	1.503132
0	0	12	16	0.167015
0	0	12	17	0.367432
0	0	12	18	1.336117
0	0	12	19	2.972860
0	0	13	0	3.440501
0	0	13	1	3.106472
0	0	13	2	1.770355
0	0	13	3	2.137787
0	0	13	4	0.868476
0	0	13	5	0.601253
0	0	13	6	0.367432
0	0	13	7	0.801670
0	0	13	8	1.970772
0	0	13	9	2.237996
0	0	13	10	0.601253
0	0	13	11	0.300626
0	0	13	12	0.634656
0	0	13	13	0.701461
0	0	13	14	1.169102
0	0	13	15	0.835073
0	0	13	16	0.267223
0	0	13	17	0.334029
0	0	13	18	1.402923
0	0	13	19	3.473904
0	0	14	0	3.473904
0	0	14	1	2.705637
0	0	14	2	2.872651
0	0	14	3	2.438413
0	0	14	4	1.235908
0	0	14	5	0.868476
0	0	14	6	1.736952
0	0	14	7	1.436326
0	0	14	8	1.235908
0	0	14	9	0.434238
0	0	14	10	0.334029
0	0	14	11	0.200418
0	0	14	12	0.267223
0	0	14	13	0.367432
0	0	14	14	2.237996
0	0	14	15	2.137787
0	0	14	16	1.536534
0	0	14	17	3.073069
0	0	14	18	1.736952
0	0	14	19	1.536534
0	0	15	0	1.469729
0	0	15	1	1.402923
0	0	15	2	1.469729
0	0	15	3	1.436326
0	0	15	4	1.169102
0	0	15	5	1.269311
0	0	15	6	1.436326
0	0	15	7	0.734864
0	0	15	8	1.135699
0	0	15	9	0.267223
0	0	15	10	0.000000
0	0	15	11	0.133612
0	0	15	12	0.066806
0	0	15	13	0.300626
0	0	15	14	1.503132
0	0	15	15	3.574113
0	0	15	16	2.104384
0	0	15	17	3.306889
0	0	15	18	3.306889
0	0	15	19	1.503132
0	0	16	0	1.436326
0	0	16	1	1.068894
0	0	16	2	2.405010
0	0	16	3	1.736952
0	0	16	4	1.135699
0	0	16	5	1.569937
0	0	16	6	0.601253
0	0	16	7	0.300626
0	0	16	8	1.068894
0	0	16	9	0.734864
0	0	16	10	0.601253
0	0	16	11	0.000000
0	0	16	12	0.033403
0	0	16	13	0.233820
0	0	16	14	0.734864
0	0	16	15	1.703549
0	0	16	16	1.837161
0	0	16	17	2.438413
0	0	16	18	2.171190
0	0	16	19	1.970772
0	0	17	0	1.336117
0	0	17	1	1.302714
0	0	17	2	1.436326
0	0	17	3	1.736952
0	0	17	4	1.068894
0	0	17	5	0.400835
0	0	17	6	0.233820
0	0	17	7	0.467641
0	0	17	8	1.169102
0	0	17	9	1.402923
0	0	17	10	1.035491
0	0	17	11	0.100209
0	0	17	12	0.400835
0	0	17	13	0.501044
0	0	17	14	1.035491
0	0	17	15	2.004175
0	0	17	16	1.569937
0	0	17	17	1.770355
0	0	17	18	3.006263
0	0	17	19	2.371608
0	0	18	0	0.835073
0	0	18	1	0.300626
0	0	18	2	0.334029
0	0	18	3	0.167015
0	0	18	4	0.233820
0	0	18	5	0.233820
0	0	18	6	0.434238
0	0	18	7	0.501044
0	0	18	8	0.434238
0	0	18	9	0.768267
0	0	18	10	0.868476
0	0	18	11	0.901879
0	0	18	12	1.068894
0	0	18	13	1.469729
0	0	18	14	1.002088
0	0	18	15	0.601253
0	0	18	16	1.736952
0	0	18	17	1.436326
0	0	18	18	2.237996
0	0	18	19	2.405010
0	0	19	0	1.302714
0	0	19	1	0.868476
0	0	19	2	1.135699
0	0	19	3	0.334029
0	0	19	4	0.935282
0	0	19	5	0.701461
0	0	19	6	0.868476
0	0	19	7	1.336117
0	0	19	8	0.400835
0	0	19	9	1.302714
0	0	19	10	1.536534
0	0	19	11	1.135699
0	0	19	12	1.636743
0	0	19	13	2.004175
0	0	19	14	1.436326
0	0	19	15	1.102296
0	0	19	16	1.068894
0	0	19	17	0.734864
0	0	19	18	0.534447
0	0	19	19	1.503132
