type	x	y	z	density
t = 0
0	3	6	0	0.159613
0	3	6	1	0.192021
0	3	6	2	0.174557
0	3	6	3	0.034488
0	3	6	4	-0.032311
0	3	6	5	-0.006573
0	3	6	6	-0.024285
0	3	6	7	1.168863
0	3	7	0	-0.104972
0	3	7	1	0.484329
0	3	7	2	-0.023543
0	3	7	3	-0.015991
0	3	7	4	0.000000
0	3	7	5	0.000000
0	3	7	6	0.009202
0	3	7	7	0.310362
0	4	0	0	1.796270
0	4	0	1	0.757733
0	4	0	2	1.080481
0	4	0	3	0.314870
0	4	0	4	0.015928
0	4	0	5	0.000000
0	4	0	6	0.630062
0	4	0	7	3.147358
0	4	1	0	0.829142
0	4	1	1	0.421356
0	4	1	2	0.988609
0	4	1	3	-0.081300
0	4	1	4	-0.033010
0	4	1	5	0.000000
0	4	1	6	0.091491
0	4	1	7	0.878830
0	4	2	0	-0.254897
0	4	2	1	0.460540
0	4	2	2	0.442909
0	4	2	3	0.486658
0	4	2	4	0.140372
0	4	2	5	0.000000
0	4	2	6	-0.022931
0	4	2	7	1.015828
0	4	3	0	1.476008
0	4	3	1	1.986098
0	4	3	2	0.856427
0	4	3	3	0.981530
0	4	3	4	0.415650
0	4	3	5	-0.009153
0	4	3	6	0.062763
0	4	3	7	-0.419824
0	4	4	0	3.239567
0	4	4	1	1.105659
0	4	4	2	3.537535
0	4	4	3	2.816880
0	4	4	4	3.422250
0	4	4	5	0.067270
0	4	4	6	-0.234542
0	4	4	7	2.618169
0	4	5	0	-0.108387
0	4	5	1	0.182060
0	4	5	2	0.612728
0	4	5	3	-0.153639
0	4	5	4	-0.370529
0	4	5	5	-0.097653
0	4	5	6	-0.179604
0	4	5	7	0.655533
0	4	6	0	0.729095
0	4	6	1	0.838194
0	4	6	2	0.960191
0	4	6	3	0.340792
0	4	6	4	0.024924
0	4	6	5	0.034851
0	4	6	6	-0.020104
0	4	6	7	1.477596
0	4	7	0	1.074789
0	4	7	1	0.058567
0	4	7	2	0.399535
0	4	7	3	-0.032592
0	4	7	4	-0.000565
0	4	7	5	0.000000
0	4	7	6	-0.166283
0	4	7	7	0.569122
0	5	0	0	0.802305
0	5	0	1	1.160939
0	5	0	2	1.227402
0	5	0	3	1.596380
0	5	0	4	-0.103118
0	5	0	5	0.009932
0	5	0	6	-0.149131
0	5	0	7	1.649941
0	5	1	0	0.015503
0	5	1	1	0.701509
0	5	1	2	1.067015
0	5	1	3	0.585919
0	5	1	4	0.171394
0	5	1	5	0.013310
0	5	1	6	-0.097569
0	5	1	7	1.220106
0	5	2	0	0.253415
0	5	2	1	0.852077
0	5	2	2	0.223759
0	5	2	3	0.455209
0	5	2	4	0.296890
0	5	2	5	-0.047737
0	5	2	6	0.031834
0	5	2	7	0.586056
0	5	3	0	0.219099
0	5	3	1	0.595516
0	5	3	2	1.552002
0	5	3	3	0.586961
0	5	3	4	0.074663
0	5	3	5	-0.004138
0	5	3	6	-0.148672
0	5	3	7	1.323210
0	5	4	0	1.157775
0	5	4	1	1.615454
0	5	4	2	1.085485
0	5	4	3	1.809743
0	5	4	4	2.367132
0	5	4	5	-0.085723
0	5	4	6	0.230782
0	5	4	7	1.138973
0	5	5	0	2.457952
0	5	5	1	3.630815
0	5	5	2	1.645675
0	5	5	3	2.854054
0	5	5	4	4.241296
0	5	5	5	1.173339
0	5	5	6	0.807086
0	5	5	7	2.900540
0	5	6	0	-0.081710
0	5	6	1	0.019503
0	5	6	2	-0.225567
0	5	6	3	-0.368051
0	5	6	4	-0.104907
0	5	6	5	-0.221787
0	5	6	6	-0.006488
0	5	6	7	0.350916
0	5	7	0	0.360171
0	5	7	1	0.489705
0	5	7	2	0.370531
0	5	7	3	0.350257
0	5	7	4	0.119813
0	5	7	5	-0.046438
0	5	7	6	0.049759
0	5	7	7	-0.127412
0	6	0	0	-0.178299
0	6	0	1	1.298670
0	6	0	2	-0.103718
0	6	0	3	0.261309
0	6	0	4	0.464059
0	6	0	5	0.116682
0	6	0	6	-0.012282
0	6	0	7	-0.025989
0	6	1	0	2.094342
0	6	1	1	0.104363
0	6	1	2	1.222745
0	6	1	3	0.556997
0	6	1	4	-0.030850
0	6	1	5	-0.062744
0	6	1	6	0.247033
0	6	1	7	1.324424
0	6	2	0	-0.020565
0	6	2	1	0.628327
0	6	2	2	0.299214
0	6	2	3	1.701951
0	6	2	4	0.607655
0	6	2	5	0.304744
0	6	2	6	0.862993
0	6	2	7	0.722126
0	6	3	0	1.155812
0	6	3	1	0.493820
0	6	3	2	0.273062
0	6	3	3	0.460271
0	6	3	4	0.893802
0	6	3	5	0.230274
0	6	3	6	0.297502
0	6	3	7	1.117367
0	6	4	0	0.579819
0	6	4	1	0.359067
0	6	4	2	0.720047
0	6	4	3	0.650425
0	6	4	4	0.562124
0	6	4	5	0.055991
0	6	4	6	0.298475
0	6	4	7	0.268419
0	6	5	0	0.036780
0	6	5	1	1.029573
0	6	5	2	1.026443
0	6	5	3	0.422893
0	6	5	4	0.606049
0	6	5	5	1.227433
0	6	5	6	0.326832
0	6	5	7	0.241046
0	6	6	0	0.633890
0	6	6	1	1.763131
0	6	6	2	2.947561
0	6	6	3	2.861000
0	6	6	4	3.020331
0	6	6	5	2.988349
0	6	6	6	0.380392
0	6	6	7	0.458568
0	6	7	0	0.077392
0	6	7	1	-0.035771
0	6	7	2	0.511417
0	6	7	3	-0.180307
0	6	7	4	0.149044
0	6	7	5	-0.088811
0	6	7	6	-0.169978
0	6	7	7	-0.009298
0	7	0	0	0.004380
0	7	0	1	0.632463
0	7	0	2	0.415247
0	7	0	3	0.897007
0	7	0	4	0.410051
0	7	0	5	0.030768
0	7	0	6	0.032781
0	7	0	7	-0.004417
0	7	1	0	0.068852
0	7	1	1	0.159088
0	7	1	2	-0.011365
0	7	1	3	-0.005218
0	7	1	4	-0.025062
0	7	1	5	-0.014986
0	7	1	6	-0.000979
0	7	1	7	0.238728
0	7	2	0	0.892670
0	7	2	1	0.876899
0	7	2	2	0.433390
0	7	2	3	0.050850
0	7	2	4	0.312467
0	7	2	5	0.283499
0	7	2	6	0.009833
0	7	2	7	0.760170
0	7	3	0	0.475069
0	7	3	1	1.636501
0	7	3	2	0.273900
0	7	3	3	0.827523
0	7	3	4	0.540756
0	7	3	5	0.165002
0	7	3	6	-0.021093
0	7	3	7	1.117835
0	7	4	0	-0.026513
0	7	4	1	0.129928
0	7	4	2	0.667300
0	7	4	3	0.058208
0	7	4	4	0.513779
0	7	4	5	0.448499
0	7	4	6	-0.026190
0	7	4	7	0.219366
0	7	5	0	0.128961
0	7	5	1	0.041924
0	7	5	2	1.403082
0	7	5	3	1.016297
0	7	5	4	-0.129379
0	7	5	5	0.044027
0	7	5	6	0.241720
0	7	5	7	-0.296498
0	7	6	0	-0.008098
0	7	6	1	0.659612
0	7	6	2	0.445070
0	7	6	3	0.367853
0	7	6	4	1.576747
0	7	6	5	2.443814
0	7	6	6	1.037419
0	7	6	7	0.142478
0	7	7	0	-0.067090
0	7	7	1	0.299503
0	7	7	2	1.409165
0	7	7	3	2.921947
0	7	7	4	3.375711
0	7	7	5	3.254866
0	7	7	6	0.832926
0	7	7	7	0.028830
1	0	0	0	2.305021
1	0	0	1	2.589067
1	0	0	2	0.778154
1	0	0	3	0.136062
1	0	0	4	0.217648
1	0	0	5	1.930324
1	0	0	6	2.935077
1	0	0	7	4.078884
1	0	1	0	-0.220983
1	0	1	1	-0.033429
1	0	1	2	0.074155
1	0	1	3	0.337351
1	0	1	4	-0.066321
1	0	1	5	-0.334365
1	0	1	6	-0.465118
1	0	1	7	0.336155
1	0	2	0	-0.267488
1	0	2	1	-0.027325
1	0	2	2	-0.083348
1	0	2	3	0.532254
1	0	2	4	-0.210025
1	0	2	5	1.208496
1	0	2	6	0.627616
1	0	2	7	0.148785
1	0	3	0	-0.100305
1	0	3	1	0.009223
1	0	3	2	-0.000704
1	0	3	3	0.038009
1	0	3	4	0.507010
1	0	3	5	0.822607
1	0	3	6	0.972532
1	0	3	7	0.215353
1	0	4	0	0.006408
1	0	4	1	-0.011352
1	0	4	2	-0.000129
1	0	4	3	0.000067
1	0	4	4	-0.000466
1	0	4	5	1.309240
1	0	4	6	0.381045
1	0	4	7	0.835456
1	0	5	0	0.039235
1	0	5	1	0.036648
1	0	5	2	0.021766
1	0	5	3	0.013645
1	0	5	4	-0.006396
1	0	5	5	0.148366
1	0	5	6	0.333107
1	0	5	7	0.423110
1	0	6	0	0.463339
1	0	6	1	0.564454
1	0	6	2	0.073657
1	0	6	3	-0.021870
1	0	6	4	0.034349
1	0	6	5	-0.030768
1	0	6	6	0.139008
1	0	6	7	0.055101
1	0	7	0	1.516868
1	0	7	1	0.513630
1	0	7	2	0.168465
1	0	7	3	0.088835
1	0	7	4	0.166155
1	0	7	5	1.096122
1	0	7	6	0.730628
1	0	7	7	1.072251
1	1	0	0	2.179344
1	1	0	1	1.716692
1	1	0	2	0.761486
1	1	0	3	1.115552
1	1	0	4	2.540982
1	1	0	5	2.887944
1	1	0	6	1.185759
1	1	0	7	4.173724
1	1	1	0	1.333405
1	1	1	1	1.734927
1	1	1	2	3.475160
1	1	1	3	4.033439
1	1	1	4	3.975863
1	1	1	5	5.197706
1	1	1	6	2.237659
1	1	1	7	6.019062
1	1	2	0	-0.400141
1	1	2	1	0.001727
1	1	2	2	-0.006152
1	1	2	3	-0.181530
1	1	2	4	0.162381
1	1	2	5	-0.207379
1	1	2	6	0.976926
1	1	2	7	-0.014393
1	1	3	0	0.644287
1	1	3	1	0.215766
1	1	3	2	-0.069807
1	1	3	3	0.071781
1	1	3	4	1.631458
1	1	3	5	0.827290
1	1	3	6	0.087453
1	1	3	7	0.421931
1	1	4	0	0.006437
1	1	4	1	0.000000
1	1	4	2	0.000000
1	1	4	3	-0.003783
1	1	4	4	0.096666
1	1	4	5	0.924583
1	1	4	6	0.603026
1	1	4	7	0.217351
1	1	5	0	-0.009517
1	1	5	1	-0.000476
1	1	5	2	-0.000405
1	1	5	3	-0.041105
1	1	5	4	-0.010326
1	1	5	5	0.052161
1	1	5	6	0.861426
1	1	5	7	0.057674
1	1	6	0	0.112919
1	1	6	1	-0.015841
1	1	6	2	0.124154
1	1	6	3	0.118943
1	1	6	4	0.669421
1	1	6	5	0.209656
1	1	6	6	0.727364
1	1	6	7	0.312869
1	1	7	0	0.189737
1	1	7	1	0.028025
1	1	7	2	0.038931
1	1	7	3	0.072738
1	1	7	4	-0.191002
1	1	7	5	0.372090
1	1	7	6	0.483622
1	1	7	7	1.098580
1	2	0	0	0.147788
1	2	0	1	-0.062891
1	2	0	2	0.715213
1	2	0	3	0.216223
1	2	0	4	0.671571
1	2	0	5	0.743214
1	2	0	6	0.301762
1	2	0	7	0.096483
1	2	1	0	0.371268
1	2	1	1	0.037001
1	2	1	2	0.544141
1	2	1	3	1.097396
1	2	1	4	1.356248
1	2	1	5	2.022020
1	2	1	6	0.971985
1	2	1	7	3.379921
1	2	2	0	1.598048
1	2	2	1	0.062185
1	2	2	2	0.727436
1	2	2	3	3.630661
1	2	2	4	3.356242
1	2	2	5	1.667107
1	2	2	6	2.605845
1	2	2	7	3.121731
1	2	3	0	-0.078954
1	2	3	1	-0.017536
1	2	3	2	-0.005478
1	2	3	3	0.004188
1	2	3	4	0.628941
1	2	3	5	0.984468
1	2	3	6	-0.292008
1	2	3	7	0.277731
1	2	4	0	0.000000
1	2	4	1	0.000000
1	2	4	2	0.000000
1	2	4	3	0.007678
1	2	4	4	-0.029037
1	2	4	5	0.416925
1	2	4	6	0.932021
1	2	4	7	0.060762
1	2	5	0	0.000000
1	2	5	1	0.000000
1	2	5	2	-0.000530
1	2	5	3	-0.442175
1	2	5	4	1.386359
1	2	5	5	0.131757
1	2	5	6	1.154582
1	2	5	7	-0.043300
1	2	6	0	0.025989
1	2	6	1	0.001419
1	2	6	2	0.059580
1	2	6	3	0.538058
1	2	6	4	1.440689
1	2	6	5	1.644015
1	2	6	6	0.316655
1	2	6	7	0.461488
1	2	7	0	0.016178
1	2	7	1	-0.002779
1	2	7	2	0.043582
1	2	7	3	0.350528
1	2	7	4	0.221938
1	2	7	5	0.276335
1	2	7	6	-0.022615
1	2	7	7	0.803087
1	3	0	0	0.000000
1	3	0	1	0.000000
1	3	0	2	-0.062706
1	3	0	3	1.134303
1	3	0	4	0.729094
1	3	0	5	1.604942
1	3	0	6	2.804374
1	3	0	7	0.300744
1	3	1	0	-0.001406
1	3	1	1	-0.000893
1	3	1	2	-0.046773
1	3	1	3	0.345735
1	3	1	4	0.491154
1	3	1	5	1.328205
1	3	1	6	0.702817
1	3	1	7	0.209927
1	3	2	0	-0.207534
1	3	2	1	0.181431
1	3	2	2	0.845505
1	3	2	3	0.296598
1	3	2	4	0.128797
1	3	2	5	1.287468
1	3	2	6	0.718047
1	3	2	7	0.613911
1	3	3	0	0.717198
1	3	3	1	0.209077
1	3	3	2	0.168659
